mode	chunk_bytes	gpu_batch	iterations	mb_per_s	webgpu_path
decode	2048	1	200	50.4	yes
decode	2048	2	200	79.1	yes
decode	2048	3	200	81.7	yes
decode	2048	4	200	83.9	yes
decode	2048	5	200	84.6	yes
decode	2048	6	200	83.7	yes
decode	2048	7	200	83.8	yes
decode	2048	8	200	83.3	yes
decode	2048	10	200	79.2	yes
decode	2048	12	200	75.9	yes
decode	4096	1	200	67.4	yes
decode	4096	2	200	80.3	yes
decode	4096	3	200	81.4	yes
decode	4096	4	200	82.7	yes
decode	4096	5	200	82.9	yes
decode	4096	6	200	84.0	yes
decode	4096	7	200	84.3	yes
decode	4096	8	200	84.7	yes
decode	4096	10	200	79.5	yes
decode	4096	12	200	75.2	yes
