mode	chunk_bytes	gpu_batch	iterations	mb_per_s	webgpu_path
decode	2048	1	200	50.5	yes
decode	2048	2	200	79.6	yes
decode	2048	3	200	81.6	yes
decode	2048	4	200	77.0	yes
decode	2048	5	200	74.7	yes
decode	2048	6	200	73.1	yes
decode	2048	7	200	71.8	yes
decode	2048	8	200	70.6	yes
decode	2048	10	200	69.4	yes
decode	2048	12	200	68.1	yes
decode	4096	1	200	67.6	yes
decode	4096	2	200	79.0	yes
decode	4096	3	200	83.1	yes
decode	4096	4	200	77.5	yes
decode	4096	5	200	75.7	yes
decode	4096	6	200	73.4	yes
decode	4096	7	200	71.5	yes
decode	4096	8	200	70.6	yes
decode	4096	10	200	69.8	yes
decode	4096	12	200	69.4	yes
