mode	chunk_bytes	gpu_batch	iterations	mb_per_s	webgpu_path
encode	2048	1	200	36.9	yes
encode	2048	2	200	55.5	yes
encode	2048	3	200	56.7	yes
encode	2048	4	200	58.9	yes
encode	2048	5	200	60.5	yes
encode	2048	6	200	60.5	yes
encode	2048	7	200	60.5	yes
encode	2048	8	200	61.4	yes
encode	2048	10	200	57.0	yes
encode	2048	12	200	53.4	yes
encode	4096	1	200	38.3	yes
encode	4096	2	200	48.9	yes
encode	4096	3	200	56.2	yes
encode	4096	4	200	61.8	yes
encode	4096	5	200	61.0	yes
encode	4096	6	200	59.2	yes
encode	4096	7	200	61.4	yes
encode	4096	8	200	61.8	yes
encode	4096	10	200	55.5	yes
encode	4096	12	200	50.1	yes
