mode	chunk_bytes	gpu_batch	iterations	mb_per_s	webgpu_path
encode	1024	1	200	36.7	yes
encode	1024	2	200	56.9	yes
encode	1024	3	200	58.1	yes
encode	1024	4	200	54.1	yes
encode	2048	1	200	44.0	yes
encode	2048	2	200	55.4	yes
encode	2048	3	200	58.5	yes
encode	2048	4	200	53.9	yes
encode	4096	1	200	38.3	yes
encode	4096	2	200	48.5	yes
encode	4096	3	200	57.1	yes
encode	4096	4	200	50.2	yes
encode	8192	1	200	29.3	yes
encode	8192	2	200	40.9	yes
encode	8192	3	200	47.7	yes
encode	8192	4	200	41.1	yes
decode	1024	1	200	67.6	yes
decode	1024	2	200	81.3	yes
decode	1024	3	200	82.9	yes
decode	1024	4	200	78.1	yes
decode	2048	1	200	66.6	yes
decode	2048	2	200	80.4	yes
decode	2048	3	200	83.4	yes
decode	2048	4	200	78.1	yes
decode	4096	1	200	67.1	yes
decode	4096	2	200	81.3	yes
decode	4096	3	200	83.5	yes
decode	4096	4	200	78.5	yes
decode	8192	1	200	62.9	yes
decode	8192	2	200	77.5	yes
decode	8192	3	200	81.1	yes
decode	8192	4	200	75.3	yes
